id,revenue,company_name
1,12314651,Paramount Pictures
1,12314651,United Artists
1,12314651,Metro-Goldwyn-Mayer (MGM)
2,95149435,Walt Disney Pictures
3,13092000,Bold Films
3,13092000,Blumhouse Productions
3,13092000,Right of Way Films
4,16000000,
5,3923970,
6,3261638,
7,85446075,Ghost House Pictures
7,85446075,North Box Productions
8,2586511,
9,34327391,Walt Disney Pictures
9,34327391,Jim Henson Productions
9,34327391,"Jim Henson Company, The"
10,18750246,Castle Rock Entertainment
11,117235147,United Artists
12,22642033,Twentieth Century Fox Film Corporation
12,22642033,Amercent Films
12,22642033,American Entertainment Partners L.P.
12,22642033,Interscope Communications
13,356296601,DreamWorks SKG
13,356296601,Jinks/Cohen Company
14,95226116,Double Feature Films
14,95226116,Jersey Films
14,95226116,Nina Saxon Film Design
14,95226116,Metro-Goldwyn-Mayer (MGM)
15,358372926,DreamWorks SKG
15,358372926,Cruise/Wagner Productions
15,358372926,Amblin Entertainment
15,358372926,Twentieth Century Fox Film Corporation
15,358372926,Blue Tulip Productions
15,358372926,Ronald Shusett/Gary Goldman
15,358372926,Digital Image Associates
16,198,Hypnopolis
17,57891803,DreamWorks SKG
17,57891803,Craven-Maddalena Films
17,57891803,BenderSpink
18,1234254,BBC Films
18,1234254,Headline Pictures
18,1234254,Magnolia Mae Films
18,1234254,Taeoo Entertainment
19,1749457,UK Film Council
19,1749457,Prescience
19,1749457,Aegis Film Fund
19,1749457,Kaleidoscope Films
20,85167639,Twentieth Century Fox Film Corporation
20,85167639,Current Entertainment
20,85167639,TF1 Films Production
20,85167639,Canal+
20,85167639,TPS Star
20,85167639,EuropaCorp
20,85167639,Sea Side Films Florida Inc.
21,136159423,New Line Cinema
21,136159423,Irwin Allen Productions
21,136159423,Prelude Pictures
21,136159423,Saltire Entertainment
22,36690067,Paramount Pictures
22,36690067,Jason Productions
23,100345,The Collective
23,100345,Bloody Disgusting
23,100345,8383 Productions
24,17011, Braeburn Entertainment
24,17011, Check Entertainment
24,17011,G.C. Pix 
25,4947717,New Zealand Film Commission
25,4947717,Live Stock Films
26,8403433,Universal Pictures
26,8403433,Dark Horse Entertainment
26,8403433,Largo Entertainment
26,8403433,JVC Entertainment Networks
27,13835130,Jean Doumanian Productions
27,13835130,Sweetland Films
27,13835130,Magnolia Films
27,13835130,Jasmine Productions Inc.
28,7847000,Fastnet Films
28,7847000,Caramel Film
28,7847000,No Trace Camping
29,5849647,De Laurentiis Entertainment Group (DEG)
29,5849647,Marvel Productions
29,5849647,Hasbro
29,5849647,Sunbow Productions
30,94935764,Paramount Pictures
31,426480871,Gaumont
31,426480871,TF1 Films Production
31,426480871,Canal+
31,426480871,CinéCinéma
31,426480871,Quad Productions
31,426480871,Chaocorp
31,426480871,Ten Films
31,426480871,TF1
32,36000000,Les Films du Losange
32,36000000,Wega Film
32,36000000,BIM Distribuzione
32,36000000,Centre National de la Cinématographie
32,36000000,Filmstiftung Nordrhein-Westfalen
32,36000000,France 3 Cinéma
32,36000000,Eurimages
32,36000000,Bavaria Film
32,36000000,Canal+
32,36000000,Studio Canal
32,36000000,Arte France Cinéma
32,36000000,Westdeutscher Rundfunk (WDR)
32,36000000,Filmfonds Wien
32,36000000,ORF Film/Fernseh-Abkommen
32,36000000,Österreichisches Filminstitut
33,146936910,Summit Entertainment
33,146936910,Atmosphere Entertainment MM
33,146936910,One Race Films
33,146936910,Goldmann Pictures
33,146936910,NeoReel
33,146936910,Aperture Entertainment
33,146936910,TIK Films
34,7171,Magnet Releasing
34,7171,Drafthouse Films
34,7171,Timpson Films
35,258022233,New Line Cinema
36,40346186,Lawrence Bender Productions
36,40346186,IM Global
36,40346186,Automatik Entertainment
36,40346186,Trigger Street Productions
36,40346186,87Eleven
37,151559,Bórd Scannán na hÉireann
37,151559,British Broadcasting Corporation (BBC)
37,151559,Venus Productions
38,189859560,Kopelson Entertainment
38,189859560,Punch Productions
38,189859560,Warner Bros.
38,189859560,Arnold Kopelson Productions
39,92100,
40,14873,Columbia Pictures Corporation
40,14873,Jerry Bresler Productions
41,163000,Rakontur
42,16217773,Warner Bros.
42,16217773,Jalem Productions
43,24362772,Paramount Pictures
43,24362772,Lakeshore Entertainment
44,1020921,Revelations Entertainment
44,1020921,Lascaux Films
44,1020921,Latitude Productions
45,47175038,26 Films
45,47175038,Gold Circle Films
45,47175038,Visionview Production
46,4300000,Indigo Film
46,4300000,Medusa Film
47,660940780,Blue Sky Studios
47,660940780,Twentieth Century Fox Animation
48,155760117,Double Feature Films
48,155760117,The Weinstein Company
48,155760117,FilmColony
49,653951,Ad Hominem Enterprises
50,120000000,Paramount Pictures
51,1500000,
52,25333333,Warner Bros.
53,11000000,Walt Disney Productions
54,17514553,TriStar Pictures
55,46069568,Columbia Pictures
55,46069568,Affirm Films
55,46069568,LD Entertainment
55,46069568,Patrick Aiello Productions
56,36448200,Hollywood Pictures
57,1056938,Mon Voisin Productions
58,238207122,PolyGram Filmed Entertainment
58,238207122,Warner Bros.
59,119563,Speak Productions
60,25482931,New Line Cinema
61,599045960,Eon Productions
61,599045960,Stillking Films
61,599045960,Babelsberg Film
62,14400000,Joanna Productions
63,25232289,Atlas Entertainment
63,25232289,Turner Pictures (I)
64,14000000,Paramount Pictures
64,14000000,Sean S. Cunningham Films
64,14000000,Horror Inc.
65,17654912,Paramount Vantage
65,17654912,Bona Fide Productions
66,11806119,Cannon Films
67,204940,Company Films
67,204940,Moving Pictures Film and Television
68,154120,Office Kitano
68,154120,Xstream Pictures
68,154120,Shanghai Film Group
69,13129846,Universal Pictures
70,158468292,Universal Pictures
71,21126225,Section Eight
71,21126225,Mandalay Pictures
71,21126225,VIP 3 Medienfonds
71,21126225,2929 Productions
71,21126225,Rising Star
71,21126225,VIP 2 Medienfonds
71,21126225,Warner Independent Pictures (WIP)
72,16756372,Senator Film Produktion
72,16756372,Wildwood Enterprises
72,16756372,Sound for Film
72,16756372,Inca Films S.A.
72,16756372,Filmfour
72,16756372,BD Cine
72,16756372,Tu Vas Voir Productions
72,16756372,Sahara Films
73,8266343,Imagine Entertainment
73,8266343,Universal Pictures
74,17393,
75,2300000,New World Pictures
76,24922237,Touchstone Pictures
77,500000,
78,39846344,Orion Pictures
78,39846344,Warner Bros.
79,35610100,Warner Bros.
79,35610100,Deliverance Productions
80,779820,Spectacle Entertainment Group
80,779820,Windy Hill Pictures
80,779820,Protagonist Pictures
80,779820,Bow and Arrow Entertainment
80,779820,PalmStar Media
81,9237470,United Artists
81,9237470,Intermedia Films
81,9237470,IM Filmproduktion
81,9237470,Cosmic Pictures
81,9237470,Metro-Goldwyn-Mayer (MGM)
81,9237470,Alphaville Films
82,11588205,Epsilon Motion Pictures
82,11588205,Hyde Park Films
82,11588205,Shopgirl
82,11588205,Touchstone Pictures
83,91974818,Universal Pictures
83,91974818,MFPV Film
83,91974818,Double Feature Films
83,91974818,ShadowCatcher Entertainment
83,91974818,Daniel Bobker Productions
83,91974818,Brick Dust Productions LLC
84,40400657,Metro-Goldwyn-Mayer (MGM)
85,13101672,Elle Driver
85,13101672,Tazora Films
86,152022101,Paramount Pictures
86,152022101,"Kennedy/Marshall Company, The"
87,106260000,Columbia Pictures
88,32392047,New Line Cinema
88,32392047,Golden Harvest Company
89,13162475,Scion Films
89,13162475,LD Entertainment
89,13162475,Czech Anglo Productions
90,140081992,Canal Plus
90,140081992,Regency Enterprises
90,140081992,Alcor Films
91,180949000,Miramax Films
91,180949000,A Band Apart
91,180949000,Super Cool ManChu
92,215339,R%26C Produzioni
92,215339,Les Films Balenciaga
93,15000000,France 2 Cinéma
93,15000000,Hachette Première
93,15000000,Canal+
94,2724474,Blast! Films
95,20117339,Asymmetrical Productions
95,20117339,Les Films Alain Sarde
95,20117339,Babbo Inc.
95,20117339,The Picture Factory
95,20117339,Canal+
96,14353,"Yellow, Black & White"
97,3358,Procirep
97,3358,Canal+
97,3358,Film Fund Luxembourg
97,3358,Centre National de la Cinématographie (CNC)
97,3358,Media Programme of the European Community
97,3358,Ciné+
98,73000,Ren Film
99,23000000,Studio Canal
100,46616067,Orion Pictures
101,9229401,Epic Productions
101,9229401,Vision International
101,9229401,Vision PDG
101,9229401,Trans World Entertainment (TWE)
102,313542341,Imagine Entertainment
102,313542341,DreamWorks SKG
102,313542341,Universal Pictures
103,14961069,Barunson Film Division
103,14961069,Film It Suda
103,14961069,Sio Film and Bravo Entertainment
104,5310554,Gran Via Productions
104,5310554,Walden Media
104,5310554,Lemodeln Model & Talent Agency
105,149521495,Çamaşırhane
105,149521495,Kinostar
105,149521495,Tiglon
105,149521495,Emrah Gamsızoğlu
106,16505460,Isle of Man Film
106,16505460,DJ Films
106,16505460,British Film Institute (BFI)
106,16505460,Pinewood Studios
106,16505460,Metrol Technology
107,15134293,Double Feature Films
107,15134293,CBS Films
108,210000000,Icon Entertainment International
108,210000000,The Ladd Company
108,210000000,B.H. Finance C.V.
109,18535191,Miramax Films
109,18535191,Pyramide Productions
110,34562222,The Mirisch Corporation
111,67631903,Cheyenne Enterprises
111,67631903,Epsilon Motion Pictures
111,67631903,Empire Pictures
111,67631903,Metro-Goldwyn-Mayer (MGM)
111,67631903,Hyde Park Entertainment
111,67631903,Baltimore Spring Creek Productions
111,67631903,Lotus Pictures
112,22034832,Revolution Studios
112,22034832,Blue Star Pictures
113,93820758,Imagine Entertainment
113,93820758,Spring Creek Productions
113,93820758,Warner Bros.
113,93820758,Roth Films
113,93820758,K. JAM Media
113,93820758,Cott Productions
113,93820758,Surf Film
113,93820758,"Enelmar Productions, A.I.E."
114,51684798,Universal Pictures
114,51684798,Rastar Pictures
115,871368364,WingNut Films
115,871368364,New Line Cinema
115,871368364,The Saul Zaentz Company
116,41604473,Universal Pictures
117,311,Emperor Motion Pictures
117,311,Media Asia Films
117,311,Sil-Metropole Organisation Ltd.
117,311,Huayi Brothers Media
117,311,China Film Co.
117,311,Chongoing Film Group
117,311,Bon Voyage Film Studio
117,311,Shanghai Media Group
117,311,Zhejiang Films & TV(Group) Company Ltd.
117,311,Hunan Broadcasting System
117,311,Anhui Broadcasting Corp.
117,311,Beijing TV Station
118,253625427,Wild Hogs Productions
118,253625427,Touchstone Pictures
119,1796389,Mainline Pictures
120,18814720,Golden Harvest Company
121,347325802,New Line Cinema
122,448000000,Walt Disney Pictures
123,5585154,TriStar Pictures
124,91036760,Silver Pictures
124,91036760,Warner Bros.
125,60722734,Fox Searchlight Pictures
125,60722734,Watermark
125,60722734,Dune Entertainment III
126,7400000,Australian Film Finance Corporation
126,7400000,Zero Fiction Film
126,7400000,Ming Productions
126,7400000,Bluewater Pictures
126,7400000,Cheerland Entertainment Organization
127,15500000,Metro-Goldwyn-Mayer (MGM)
128,12008642,Lakeshore Entertainment
128,12008642,Alphaville Films
129,46201432,Revolution Studios
129,46201432,Debra Hill Productions
130,5731103,Columbia Pictures
130,5731103,40 Acres & A Mule Filmworks
131,9800000,BBC Films
131,9800000,StudioCanal
131,9800000,Baby Cow Productions
131,9800000,British Film Institute (BFI)
131,9800000,Baby Cow Films
132,5206,
133,2452566,Discovery Channel Pictures
134,211780824,Legendary Pictures
134,211780824,Green Hat Films
134,211780824,Warner Bros.
135,33000000,Entertainment Films
135,33000000,Material Entertainment
135,33000000,Beech Hill Films
136,300000,Fandango
136,300000,Vertigo Productions
136,300000,SBS Independent
136,300000,Adelaide Film Festival
137,120680,
138,4350774,Paul Schiff Productions
139,3065860,ArieScope Pictures
139,3065860,A Bigger Boat
140,407711549,Twentieth Century Fox Film Corporation
140,407711549,Donners' Company
140,407711549,Bad Hat Harry Productions
140,407711549,Marvel Enterprises
140,407711549,XM2 Productions
140,407711549,XF2 Canada Productions
141,14000000,Twentieth Century Fox Film Corporation
141,14000000,Robert Wise Productions
142,31466789,Wild Bear Films
142,31466789,Archer Street Productions
142,31466789,Delux Productions
143,615816,Duplass Brothers Productions
144,382174,Senator Entertainment Co
145,11000000,Warner Bros.
146,9188,Killer Films
146,9188,Parts and Labor
146,9188,FullDawa Films
147,19510371,Warner Bros.
148,86758912,CJ Entertainment
148,86758912,Opus Pictures
148,86758912,Stillking Films
148,86758912,SnowPiercer
148,86758912,Moho Film
149,147214049,Universal Pictures
149,147214049,Northern Lights Entertainment
150,432274,Social Capital
150,432274,Film Afrika Worldwide
150,432274,Lipsync Productions
150,432274,Procinvest Sas
150,432274,Cinedigm
150,432274,Magnet Media Productions
150,432274,Magnet Media Group
150,432274,Mirabelle Pictures
150,432274,Alliance Cinema
151,18,Windwalker
151,18,Santa Fe International
152,16905,Whitewater Films
152,16905,Very Special Projects
152,16905,WRA Productions
153,241,
154,52425855,Universal Pictures
154,52425855,Nuyorican Productions
154,52425855,Blumhouse Productions
154,52425855,Smart Entertainment
155,5091888,Magnum Motion Pictures Inc..
156,109862682,Walt Disney Pictures
156,109862682,Walt Disney Television Animation
156,109862682,Walt Disney Animation Australia
156,109862682,DisneyToon Studios
156,109862682,Walt Disney Animation Canada
157,8262833,
158,447784,Global Pictures
159,19412993,Franchise Pictures
159,19412993,Warner Bros.
159,19412993,Morgan Creek Productions
159,19412993,The Canton Company
160,18552460,TriStar Pictures
161,113783,Yari Film Group
161,113783,Stratus Film Co.
162,12277096,Universal Pictures
162,12277096,Jascat
163,3200000,Ada Films
164,17096053,Touchstone Pictures
165,62771059,Village Roadshow Pictures
165,62771059,Dark Castle Entertainment
165,62771059,Warner Bros.
165,62771059,Eyetronics
