id,imdb_id,belongs_to_collection,poster_path,original_title,title,genres,status,release_date,release_year,runtime,cast,crew,overview,spoken_languages,popularity2,rating,totalVotes,budget,revenue
1,tt2637294,"[{'id': 313576, 'name': 'Hot Tub Time Machine Collection', 'poster_path': '/iEhb00TGPucF0b4joM1ieyY026U.jpg', 'backdrop_path': '/noeTVcgpBiD48fDjFVic1Vz7ope.jpg'}]",/tQtWuwvMf0hCc2QR2tkolwl7c3c.jpg,Hot Tub Time Machine 2,Hot Tub Time Machine 2,['Comedy'],Released,2/20/2015,2015,93.0,"['Rob Corddry', 'Craig Robinson', 'Clark Duke']",['Steve Pink'],"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.",['English'],10.4,5.0,482.0,14000000,12314651
2,tt0368933,"[{'id': 107674, 'name': 'The Princess Diaries Collection', 'poster_path': '/wt5AMbxPTS4Kfjx7Fgm149qPfZl.jpg', 'backdrop_path': '/zSEtYD77pKRJlUPx34BJgUG9v1c.jpg'}]",/w9Z7A0GHEhIp7etpj0vyKOeU1Wx.jpg,The Princess Diaries 2: Royal Engagement,The Princess Diaries 2: Royal Engagement,"['Comedy', 'Drama', 'Family', 'Romance']",Released,8/6/2004,2004,113.0,"['Anne Hathaway', 'Julie Andrews', 'H√©ctor Elizondo']",['Garry Marshall'],"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",['English'],15.229000000000001,6.4,1528.0,40000000,95149435
3,tt2582802,,/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg,Whiplash,Whiplash,['Drama'],Released,10/10/2014,2014,105.0,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",['Damien Chazelle'],"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",['English'],26.081999999999997,8.4,7314.0,3300000,13092000
4,tt1821480,,/aTXRaPrWSinhcmCrcfJK17urp3F.jpg,Kahaani,Kahaani,"['Thriller', 'Drama']",Released,3/9/2012,2012,122.0,"['Vidya Balan', 'Nawazuddin Siddiqui', 'Parambrata Chatterjee']",['Sujoy Ghosh'],"Vidya Bagchi (Vidya Balan) arrives in Kolkata from London to find her missing husband Arnab Bagchi. Seven months pregnant and alone in a festive city, she begins a relentless search for her husband. With nothing to rely on except fragments from her memories about him, all clues seem to reach a dead end when everyone tries to convince Vidya that her husband does not exist. She slowly realises that nothing is what it seems. In a city soaked in lies, Vidya is determined to unravel the truth about her husband - for herself and her unborn child - even at the cost of her own life.","['English', 'हिन्दी']",5.531000000000001,7.5,115.0,1200000,16000000
5,tt1380152,,/m22s7zvkVFDU9ir56PiiqIEWFdT.jpg,마린보이,Marine Boy,"['Action', 'Thriller']",Released,2/5/2009,2009,118.0,"['Kim Kang-woo', 'Jo Jae-hyeon', 'Park Si-yeon']",['Jong-seok Yoon'],"Marine Boy is the story of a former national swimmer who finds himself in debt, and out of desperation is employed as a mule by a gangster boss, smuggling drugs by sea.",['한국어/조선말'],0.0,0.0,0.0,0,3923970
6,tt0093743,,/6IDqA1D2NBIVhzEEaMMRL28iBrq.jpg,Pinocchio and the Emperor of the Night,Pinocchio and the Emperor of the Night,"['Animation', 'Adventure', 'Family']",Released,8/6/1987,1987,83.0,"['Scott Grimes', 'Tom Bosley', 'Rickie Lee Jones']",['Hal Sutherland'],"Pinocchio and his friends, a glow worm and a marionette, search for a magic music box. However, so are the evil Scalawag and the Emperor of the Night.",['English'],0.9279999999999999,5.1,8.0,8000000,3261638
7,tt0431021,,/4QjzFuaZmB4btGnLwAgdp23BzIU.jpg,The Possession,The Possession,"['Horror', 'Thriller']",Released,8/30/2012,2012,92.0,"['Jeffrey Dean Morgan', 'Natasha Calis', 'Madison Davenport']",['Ole Bornedal'],"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",['English'],9.437999999999999,5.9,846.0,14000000,85446075
8,tt0391024,,/83BV8fGy5p9i8RwE9oj76tZ1Ikp.jpg,Control Room,Control Room,['Documentary'],Released,1/15/2004,2004,84.0,"['Samir Khader', 'Josh Rushing', 'George W. Bush']",['Jehane Noujaim'],"A chronicle which provides a rare window into the international perception of the Iraq War, courtesy of Al Jazeera, the Arab world's most popular news outlet. Roundly criticized by Cabinet members and Pentagon officials for reporting with a pro-Iraqi bias, and strongly condemned for frequently airing civilian causalities as well as footage of American POWs, the station has revealed (and continues to show the world) everything about the Iraq War that the Bush administration did not want it to see.","['العربية', 'English']",2.841,7.5,26.0,0,2586511
9,tt0117110,"[{'id': 256377, 'name': 'The Muppet Collection', 'poster_path': '/8Ew8EIdFFurMMYjSbWPu1Hl4vLX.jpg', 'backdrop_path': '/1AWd3MM90G47mxtD112gRDxSXY9.jpg'}]",/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,Muppet Treasure Island,Muppet Treasure Island,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",Released,2/16/1996,1996,100.0,"['Tim Curry', 'Kevin Bishop', 'Jennifer Saunders']",['Brian Henson'],"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",['English'],7.5489999999999995,6.4,152.0,0,34327391
10,tt0310281,,/xwD4EsPOGLuKP50Q1gwqAsyhAFB.jpg,A Mighty Wind,A Mighty Wind,"['Comedy', 'Music']",Released,4/16/2003,2003,91.0,"['Bob Balaban', 'Christopher Guest', 'John Michael Higgins']",['Christopher Guest'],"In ""A Mighty Wind"", director Christopher Guest reunites the team from ""Best In Show"" and ""Waiting for Guffman"" to tell tell the story of 60's-era folk musicians, who inspired by the death of their former manager, get back on the stage for one concert in New York City's Town Hall.",['English'],5.76,6.9,107.0,6000000,18750246
