id,belongs_to_collection,budget,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,Keywords,cast,crew,revenue,popularity2,rating,totalVotes,sequel,release_year,release_month,release_day,release_dayofweek,num_of_keywords,all_keywords,keyword_woman director,keyword_independent film,keyword_duringcreditsstinger,keyword_murder,keyword_based on novel,keyword_violence,keyword_sport,keyword_biography,keyword_aftercreditsstinger,keyword_dystopia,num_of_languages,all_languages,language_English,language_Français,language_Español,language_Deutsch,language_Pусский,Comedy,Drama,Family,Romance,Thriller,Action,Animation,Adventure,Horror,Documentary,Music,Crime,Science Fiction,Mystery,Foreign,Fantasy,War,Western,History,TV Movie
1,"[{'id': 313576, 'name': 'Hot Tub Time Machine Collection', 'poster_path': '/iEhb00TGPucF0b4joM1ieyY026U.jpg', 'backdrop_path': '/noeTVcgpBiD48fDjFVic1Vz7ope.jpg'}]",14000000,['Comedy'],,tt2637294,en,Hot Tub Time Machine 2,"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.",6.575392999999999,/tQtWuwvMf0hCc2QR2tkolwl7c3c.jpg,"['Paramount Pictures', 'United Artists', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],2/20/2015,93.0,['English'],Released,The Laws of Space and Time are About to be Violated.,Hot Tub Time Machine 2,"['time travel', 'sequel', 'hot tub', 'duringcreditsstinger']","['Rob Corddry', 'Craig Robinson', 'Clark Duke']",['Steve Pink'],12314651,10.4,5.0,482.0,1,2015,2,20,4,4,duringcreditsstinger hot tub sequel time travel,0,0,1,0,0,0,0,0,0,0,1,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"[{'id': 107674, 'name': 'The Princess Diaries Collection', 'poster_path': '/wt5AMbxPTS4Kfjx7Fgm149qPfZl.jpg', 'backdrop_path': '/zSEtYD77pKRJlUPx34BJgUG9v1c.jpg'}]",40000000,"['Comedy', 'Drama', 'Family', 'Romance']",,tt0368933,en,The Princess Diaries 2: Royal Engagement,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",8.248895,/w9Z7A0GHEhIp7etpj0vyKOeU1Wx.jpg,['Walt Disney Pictures'],['United States of America'],8/6/2004,113.0,['English'],Released,It can take a lifetime to find true love; she's got 30 days!,The Princess Diaries 2: Royal Engagement,"['coronation', 'duty', 'marriage', 'falling in love']","['Anne Hathaway', 'Julie Andrews', 'H√©ctor Elizondo']",['Garry Marshall'],95149435,15.229000000000001,6.4,1528.0,1,2004,8,6,4,4,coronation duty falling in love marriage,0,0,0,0,0,0,0,0,0,0,1,English,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,3300000,['Drama'],http://sonyclassics.com/whiplash/,tt2582802,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",64.29999000000001,/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg,"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']",['United States of America'],10/10/2014,105.0,['English'],Released,The road to greatness can take you to the edge.,Whiplash,"['jazz', 'obsession', 'conservatory', 'music teacher', 'new york city', 'violence', 'montage', 'drummer', 'public humiliation', 'jazz band', 'young adult', 'music school']","['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",['Damien Chazelle'],13092000,26.081999999999997,8.4,7314.0,0,2014,10,10,4,12,conservatory drummer jazz jazz band montage music school music teacher new york city obsession public humiliation violence young adult,0,0,0,0,0,1,0,0,0,0,1,English,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,1200000,"['Thriller', 'Drama']",http://kahaanithefilm.com/,tt1821480,hi,Kahaani,"Vidya Bagchi (Vidya Balan) arrives in Kolkata from London to find her missing husband Arnab Bagchi. Seven months pregnant and alone in a festive city, she begins a relentless search for her husband. With nothing to rely on except fragments from her memories about him, all clues seem to reach a dead end when everyone tries to convince Vidya that her husband does not exist. She slowly realises that nothing is what it seems. In a city soaked in lies, Vidya is determined to unravel the truth about her husband - for herself and her unborn child - even at the cost of her own life.",3.174936,/aTXRaPrWSinhcmCrcfJK17urp3F.jpg,[],['India'],3/9/2012,122.0,"['English', 'हिन्दी']",Released,,Kahaani,"['mystery', 'bollywood', 'police corruption', 'crime', 'india', 'missing husband', 'nerve gas']","['Vidya Balan', 'Nawazuddin Siddiqui', 'Parambrata Chatterjee']",['Sujoy Ghosh'],16000000,5.531000000000001,7.5,115.0,0,2012,3,9,4,7,bollywood crime india missing husband mystery nerve gas police corruption,0,0,0,0,0,0,0,0,0,0,2,English हिन्दी,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0,"['Action', 'Thriller']",,tt1380152,ko,마린보이,"Marine Boy is the story of a former national swimmer who finds himself in debt, and out of desperation is employed as a mule by a gangster boss, smuggling drugs by sea.",1.1480700000000001,/m22s7zvkVFDU9ir56PiiqIEWFdT.jpg,[],['South Korea'],2/5/2009,118.0,['한국어/조선말'],Released,,Marine Boy,[],"['Kim Kang-woo', 'Jo Jae-hyeon', 'Park Si-yeon']",['Jong-seok Yoon'],3923970,0.0,0.0,0.0,0,2009,2,5,3,0,,0,0,0,0,0,0,0,0,0,0,1,한국어/조선말,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,8000000,"['Animation', 'Adventure', 'Family']",,tt0093743,en,Pinocchio and the Emperor of the Night,"Pinocchio and his friends, a glow worm and a marionette, search for a magic music box. However, so are the evil Scalawag and the Emperor of the Night.",0.743274,/6IDqA1D2NBIVhzEEaMMRL28iBrq.jpg,[],[],8/6/1987,83.0,['English'],Released,,Pinocchio and the Emperor of the Night,[],"['Scott Grimes', 'Tom Bosley', 'Rickie Lee Jones']",['Hal Sutherland'],3261638,0.9279999999999999,5.1,8.0,0,1987,8,6,3,0,,0,0,0,0,0,0,0,0,0,0,1,English,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,,14000000,"['Horror', 'Thriller']",http://www.thepossessionmovie.com/,tt0431021,en,The Possession,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",7.2864770000000005,/4QjzFuaZmB4btGnLwAgdp23BzIU.jpg,"['Ghost House Pictures', 'North Box Productions']","['United States of America', 'Canada']",8/30/2012,92.0,['English'],Released,Fear The Demon That Doesn't Fear God,The Possession,[],"['Jeffrey Dean Morgan', 'Natasha Calis', 'Madison Davenport']",['Ole Bornedal'],85446075,9.437999999999999,5.9,846.0,0,2012,8,30,3,0,,0,0,0,0,0,0,0,0,0,0,1,English,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,,0,['Documentary'],,tt0391024,en,Control Room,"A chronicle which provides a rare window into the international perception of the Iraq War, courtesy of Al Jazeera, the Arab world's most popular news outlet. Roundly criticized by Cabinet members and Pentagon officials for reporting with a pro-Iraqi bias, and strongly condemned for frequently airing civilian causalities as well as footage of American POWs, the station has revealed (and continues to show the world) everything about the Iraq War that the Bush administration did not want it to see.",1.9490439999999998,/83BV8fGy5p9i8RwE9oj76tZ1Ikp.jpg,[],[],1/15/2004,84.0,"['العربية', 'English']",Released,Different channels. Different truths.,Control Room,"['journalism', 'translation', 'television', 'manipulation of the media', 'iraq', 'reporter', 'woman director']","['Samir Khader', 'Josh Rushing', 'George W. Bush']",['Jehane Noujaim'],2586511,2.841,7.5,26.0,0,2004,1,15,3,7,iraq journalism manipulation of the media reporter television translation woman director,1,0,0,0,0,0,0,0,0,0,2,English العربية,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,"[{'id': 256377, 'name': 'The Muppet Collection', 'poster_path': '/8Ew8EIdFFurMMYjSbWPu1Hl4vLX.jpg', 'backdrop_path': '/1AWd3MM90G47mxtD112gRDxSXY9.jpg'}]",0,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",,tt0117110,en,Muppet Treasure Island,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",6.902423,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']",['United States of America'],2/16/1996,100.0,['English'],Released,Set sail for Muppet mayhem!,Muppet Treasure Island,"['island', 'pirate gang', 'puppet', 'treasure hunt']","['Tim Curry', 'Kevin Bishop', 'Jennifer Saunders']",['Brian Henson'],34327391,7.5489999999999995,6.4,152.0,1,1996,2,16,4,4,island pirate gang puppet treasure hunt,0,0,0,0,0,0,0,0,0,0,1,English,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,,6000000,"['Comedy', 'Music']",,tt0310281,en,A Mighty Wind,"In ""A Mighty Wind"", director Christopher Guest reunites the team from ""Best In Show"" and ""Waiting for Guffman"" to tell tell the story of 60's-era folk musicians, who inspired by the death of their former manager, get back on the stage for one concert in New York City's Town Hall.",4.672036,/xwD4EsPOGLuKP50Q1gwqAsyhAFB.jpg,['Castle Rock Entertainment'],['United States of America'],4/16/2003,91.0,['English'],Released,"Back together for the first time, again.",A Mighty Wind,"['mockumentary', 'folk singer']","['Bob Balaban', 'Christopher Guest', 'John Michael Higgins']",['Christopher Guest'],18750246,5.76,6.9,107.0,0,2003,4,16,2,2,folk singer mockumentary,0,0,0,0,0,0,0,0,0,0,1,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,"[{'id': 1575, 'name': 'Rocky Collection', 'poster_path': '/mCY5dMkSSFQufGCViI6jNUU6pXq.jpg', 'backdrop_path': '/w4h6gjdWPvmu5R9H6zeGDPo1ZuV.jpg'}]",1000000,['Drama'],,tt0075148,en,Rocky,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.",14.774066,/i5xiwdSsrecBvO7mIfAJixeEDSg.jpg,['United Artists'],['United States of America'],11/21/1976,119.0,['English'],Released,His whole life was a million-to-one shot.,Rocky,"['underdog', 'philadelphia', 'transporter', 'italo-american', 'fight', ""love of one's life"", 'publicity', 'boxer', 'independence', 'boxing match', 'training', 'lovers', 'surprise', 'world champion', 'amateur', 'victory']","['Sylvester Stallone', 'Talia Shire', 'Burt Young']",['John G. Avildsen'],117235147,22.44,7.7,3388.0,1,1976,11,21,6,16,amateur boxer boxing match fight independence italo-american love of one's life lovers philadelphia publicity surprise training transporter underdog victory world champion,0,0,0,0,0,0,1,0,0,0,1,English,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"[{'id': 48190, 'name': 'Revenge of the Nerds Collection', 'poster_path': '/qOnoXEdrSnBuS3FMAFRIgyJSM2r.jpg', 'backdrop_path': None}]",0,['Comedy'],,tt0093857,en,Revenge of the Nerds II: Nerds in Paradise,"The members of the Lambda Lambda Lambda fraternity travel to Fort Lauderdale for a fraternity conference. They'll have to beat off the attacks of their rival frat, the Alphas, if they want to maintain their self-respect -- and, of course, if they want to get anywhere with the pretty girls!",10.54375,/1KTi0wJQfyi8YnAjuP1xQ0Hr9m4.jpg,"['Twentieth Century Fox Film Corporation', 'Amercent Films', 'American Entertainment Partners L.P.', 'Interscope Communications']",['United States of America'],7/10/1987,98.0,['English'],Released,They're Back!,Revenge of the Nerds II: Nerds in Paradise,"['nerd', 'vacation', 'farce', 'jock', 'frame up', 'defector']","['Robert Carradine', 'Curtis Armstrong', 'Larry B. Scott']",['Joe Roth'],22642033,6.332000000000001,5.4,102.0,1,1987,7,10,4,6,defector farce frame up jock nerd vacation,0,0,0,0,0,0,0,0,0,0,1,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,,15000000,['Drama'],http://www.dreamworks.com/ab/,tt0169547,en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",20.726578,/or1MP8BZIAjqWYxPdPX724ydKar.jpg,"['DreamWorks SKG', 'Jinks/Cohen Company']",['United States of America'],9/15/1999,122.0,['English'],Released,Look closer.,American Beauty,"['male nudity', 'female nudity', 'adultery', 'parent child relationship', 'midlife crisis', 'coming out', 'first time', 'camcorder', 'virgin', 'nudity', 'film maker', 'estate agent', 'satire', 'loneliness', 'dark comedy', 'suburbia', 'coming of age', 'marijuana', 'exercise', 'bittersweet', 'affair']","['Kevin Spacey', 'Annette Bening', 'Thora Birch']",['Sam Mendes'],356296601,16.217,8.0,6016.0,0,1999,9,15,2,21,adultery affair bittersweet camcorder coming of age coming out dark comedy estate agent exercise female nudity film maker first time loneliness male nudity marijuana midlife crisis nudity parent child relationship satire suburbia virgin,0,0,0,0,0,0,0,0,0,0,1,English,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"[{'id': 91698, 'name': 'Chili Palmer Collection', 'poster_path': '/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg', 'backdrop_path': '/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg'}]",53000000,"['Comedy', 'Crime']",,tt0377471,en,Be Cool,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way.",13.314232999999998,/ekKCH7Zkb5ZTr1f1AczZY23FH.jpg,"['Double Feature Films', 'Jersey Films', 'Nina Saxon Film Design', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],3/4/2005,118.0,"['English', 'Pусский']",Released,Everyone is looking for the next big hit,Be Cool,"['baseball bat', 'widow', 'recording contract', 'recording studio', 'russian mafia', 'music business', 'night club', 'pawnshop']","['John Travolta', 'Uma Thurman', 'Vince Vaughn']",['F. Gary Gray'],95226116,7.968,5.4,429.0,1,2005,3,4,4,8,baseball bat music business night club pawnshop recording contract recording studio russian mafia widow,0,0,0,0,0,0,0,0,0,0,2,English Pусский,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,,102000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",,tt0181689,en,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",20.666063,/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg,"['DreamWorks SKG', 'Cruise/Wagner Productions', 'Amblin Entertainment', 'Twentieth Century Fox Film Corporation', 'Blue Tulip Productions', 'Ronald Shusett/Gary Goldman', 'Digital Image Associates']",['United States of America'],6/20/2002,145.0,"['English', 'svenska']",Released,The system is perfect until it comes after you.,Minority Report,"['self-fulfilling prophecy', 'washington d.c.', 'evidence', 'future', 'hologram', 'dystopia', 'murder', 'neo-noir', 'future noir']","['Tom Cruise', 'Colin Farrell', 'Samantha Morton']",['Steven Spielberg'],358372926,16.768,7.3,4272.0,0,2002,6,20,3,9,dystopia evidence future future noir hologram murder neo-noir self-fulfilling prophecy washington d.c.,0,0,0,1,0,0,0,0,0,1,2,English svenska,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,,500000,"['Action', 'Crime', 'Drama']",http://skinningmovie.com/synopsis.htm,tt1129437,sr,Šišanje,"Novica is a mathematics champion in a Belgrade high school. In an attempt to overcome the ‘geek’ status at school, Novica becomes attracted to the world of skinheads by his school friend Relja. Novica is exposed to violence, hooliganism and racism; embracing the ideology and climbing up the ladder in the gang hierarchy.",1.018477,/88l8VBanH0lS5Wvzu2qgkGcsfQi.jpg,['Hypnopolis'],['Serbia'],10/6/2010,97.0,['Srpski'],Released,Life is sometimes rude game: one mistake can buy you ticket to hell.,Skinning,"['skinhead', 'serbia']","['Nikola Rakoƒçeviƒá', 'Viktor Saviƒá', 'Nata≈°a Tapu≈°koviƒá']",['Stevan Filipoviƒá'],198,1.797,5.9,22.0,0,2010,10,6,2,2,serbia skinhead,0,0,0,0,0,0,0,0,0,0,1,Srpski,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,,26000000,"['Horror', 'Thriller']",,tt0421239,en,Red Eye,"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side.",6.336926999999999,/rTDa8Ald7iiES01zJJkcM9ikd0l.jpg,"['DreamWorks SKG', 'Craven-Maddalena Films', 'BenderSpink']",['United States of America'],8/4/2005,85.0,"['English', 'Pусский']",Released,Fear takes flight.,Red Eye,"['hostage', 'menace', 'hitman', 'airplane']","['Rachel McAdams', 'Cillian Murphy', 'Brian Cox']",['Wes Craven'],57891803,7.797999999999999,6.2,807.0,0,2005,8,4,3,4,airplane hitman hostage menace,0,0,0,0,0,0,0,0,0,0,2,English Pусский,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,,0,"['Drama', 'Romance']",,tt1700845,en,The Invisible Woman,"In 1857, at the height of his fame and fortune, novelist and social critic Charles Dickens meets and falls in love with teenage stage actress Nelly Ternan. As she becomes the focus of his heart and mind, as well as his muse, painful secrecy is the price both must pay.",4.1835580000000006,/cIMdqerF4DuVEYnkSQPWLc9qAc2.jpg,"['BBC Films', 'Headline Pictures', 'Magnolia Mae Films', 'Taeoo Entertainment']",['United Kingdom'],12/25/2013,111.0,['English'],Released,His greatest story was the one he could never tell.,The Invisible Woman,"['biography', 'charles dickens']","['Ralph Fiennes', 'Felicity Jones', 'Joanna Scanlan']",['Ralph Fiennes'],1234254,6.02,6.0,108.0,0,2013,12,25,2,2,biography charles dickens,0,0,0,0,0,0,0,1,0,0,1,English,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,,8000000,"['Comedy', 'Romance']",,tt1487118,en,Chalet Girl,"While working a job at an exclusive ski resort to support her Dad, Kim learns to snowboard and is so good at it that she enters a competition with a huge cash prize. She has to dig deep to overcome her fears, but her life gets more complicated through her spoken-for boss, Jonny.",6.496258999999999,/64AQrBEKJVSIRaocOCtkMqExToz.jpg,"['UK Film Council', 'Prescience', 'Aegis Film Fund', 'Kaleidoscope Films']","['Austria', 'Germany', 'United Kingdom']",2/2/2011,96.0,"['Deutsch', 'English']",Released,How to marry a billionaire.,Chalet Girl,"['competition', 'snowboarding', 'birthday party', 'chalet', 'snowboarding competition', 'skiing', 'engagement party']","['Felicity Jones', 'Ed Westwick', 'Brooke Shields']",['Phil Traill'],1749457,6.582000000000001,6.3,348.0,0,2011,2,2,2,7,birthday party chalet competition engagement party skiing snowboarding snowboarding competition,0,0,0,0,0,0,0,0,0,0,2,Deutsch English,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"[{'id': 9518, 'name': 'The Transporter Collection', 'poster_path': '/uakYnYtFxqjS8pjEWW9lGWmdMRz.jpg', 'backdrop_path': '/qDuTIGAEbxF3jP9zNILLAoxNLpU.jpg'}]",32000000,"['Action', 'Thriller', 'Crime']",,tt0388482,en,Transporter 2,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.",11.359658999999999,/bZKkwfQf4mHYlNbmViNjmAN60zY.jpg,"['Twentieth Century Fox Film Corporation', 'Current Entertainment', 'TF1 Films Production', 'Canal+', 'TPS Star', 'EuropaCorp', 'Sea Side Films Florida Inc.']",['France'],8/2/2005,87.0,"['English', 'Français', 'Italiano']",Released,The Best In The Business Is Back In The Game.,Transporter 2,"['martial arts', 'war on drugs', 'kidnapping', 'bodyguard', 'baby-snatching']","['Jason Statham', 'Amber Valletta', 'Kate Nauta']",['Louis Leterrier'],85167639,21.022,6.2,1651.0,1,2005,8,2,1,5,baby-snatching bodyguard kidnapping martial arts war on drugs,0,0,0,0,0,0,0,0,0,0,3,English Français Italiano,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
